,age
1911,36.0
1912,48.0
1913,33.0
1914,44.0
1915,20.0
1916,37.0
1917,72.0
1918,52.0
1919,31.0
1920,46.0
1922,31.0
1923,25.0
1924,46.0
1925,38.0
1926,25.0
1928,27.0
1929,24.0
1930,19.0
1931,31.0
1932,55.0
1934,18.0
1935,53.0
1937,48.0
1938,29.0
1939,30.0
1940,33.0
1941,61.0
1942,35.0
1943,71.0
1944,41.0
1945,36.0
1946,28.0
1947,52.0
1948,21.0
1950,31.0
1951,33.0
1952,46.0
1953,32.0
1954,42.0
1955,17.0
1956,44.0
1957,35.0
1958,23.0
1959,21.0
1960,53.0
1961,63.0
1962,18.0
1963,51.0
1964,64.0
1965,45.0
1966,20.0
1967,41.0
1968,23.0
1969,32.0
1970,25.0
1971,42.0
1972,41.0
1973,31.0
1974,50.0
1975,38.0
1976,44.0
1977,38.0
1978,21.0
1979,32.0
1980,23.0
1981,41.0
1982,41.0
1983,38.0
1984,54.0
1985,20.0
1986,26.0
1987,29.0
1988,47.0
1989,28.0
1990,48.0
1991,37.0
1992,34.0
1993,33.0
1994,36.0
1995,43.0
1996,32.0
1997,29.0
1998,39.0
1999,16.0
2000,40.0
2001,21.0
2002,50.0
2003,19.0
2004,28.0
2005,25.0
2006,49.0
2007,44.0
2008,39.0
2009,44.0
2010,50.0
2011,57.0
2012,57.0
2013,33.0
2014,21.0
2015,52.0
2016,27.0
2017,60.0
2018,25.0
2019,34.0
2020,22.0
2021,26.0
2022,27.0
2023,29.0
2024,30.0
2025,18.0
2026,32.0
2027,37.0
2028,54.0
2029,50.0
2030,28.0
2031,59.0
2032,24.0
2033,34.0
2034,25.0
2035,48.0
2036,45.0
2037,25.0
2038,17.0
2039,53.0
2040,18.0
2041,50.0
2042,36.0
2043,45.0
2044,42.0
2046,23.0
2047,31.0
2048,18.0
2049,26.0
2050,57.0
2051,27.0
2052,41.0
2053,33.0
2054,22.0
2055,38.0
2056,26.0
2057,45.0
2058,23.0
2059,68.0
2060,56.0
2061,45.0
2062,41.0
2063,33.0
2064,22.0
2065,50.0
2066,52.0
2067,18.0
2068,35.0
2069,18.0
2070,34.0
2071,51.0
2072,29.0
2073,34.0
2074,25.0
2075,26.0
2076,33.0
2077,17.0
2079,25.0
2080,31.0
2081,25.0
2082,18.0
2083,55.0
2084,45.0
2085,25.0
2086,23.0
2087,37.0
2088,33.0
2089,27.0
2090,32.0
2092,31.0
2093,26.0
2094,32.0
2095,53.0
2096,19.0
2097,53.0
2098,35.0
2099,64.0
2100,24.0
2101,33.0
2102,55.0
2103,17.0
2104,48.0
2105,21.0
2106,22.0
2107,30.0
2108,34.0
2109,35.0
2110,32.0
2111,22.0
2112,46.0
2113,27.0
2114,18.0
2115,33.0
2116,26.0
2117,27.0
2118,26.0
2119,51.0
2120,63.0
2121,38.0
2122,25.0
2123,39.0
2124,41.0
2125,26.0
2126,30.0
2127,33.0
2128,54.0
2129,38.0
2130,24.0
2131,47.0
2132,62.0
2133,30.0
2134,33.0
2135,23.0
2136,39.0
2138,46.0
2139,36.0
2140,66.0
2141,27.0
2142,40.0
2143,25.0
2144,20.0
2145,43.0
2146,40.0
2147,33.0
2148,34.0
2149,27.0
2150,25.0
2151,37.0
2152,32.0
2153,25.0
2154,38.0
2155,50.0
2156,70.0
2157,26.0
2159,41.0
2160,91.0
2162,25.0
2163,24.0
2164,29.0
2165,40.0
2166,51.0
2167,30.0
2168,33.0
2169,28.0
2170,23.0
2171,23.0
2172,20.0
2173,56.0
2174,36.0
2175,18.0
2176,43.0
2177,16.0
2178,29.0
2179,25.0
2180,34.0
2181,32.0
